frame,ElectricField
1,4.246218349087672
2,12.324410024181791
3,0.9821642073334619
4,-6.451250866845836
5,-9.159499171326791
6,11.487968943098572
7,-8.808049563358296
8,5.40203453584232
9,21.627634268001813
10,1.1741144525507825
11,0.5382341322589477
12,-0.09863230655932809
13,0.9139496710989625
14,-0.0905528150174943
15,-0.01727302542067744
16,0.9683346009188226
17,0.4383209792574607
18,0.4570961284552129
19,-6.079056819201959
20,4.740989247315603
21,0.8725845186485911
22,-0.051719500526874546
23,-1.2119130336812156
24,0.21210825534061495
25,-0.518261279622053
26,-0.8684780637003495
